loan_id,customer_income,credit_score,loan_amount,interest_rate,employment_status,current_balance
1000,45795,791,31548,0.23334959810163441,Employed,34447
1001,30860,498,40434,0.18672668626404276,Self-Employed,18131
1002,133694,661,30039,0.11104239166864148,Employed,28429
1003,149879,740,37530,0.18686620450360128,Employed,18705
1004,140268,325,43736,0.038861195801785334,Self-Employed,49710
1005,106820,324,45409,0.11501142360272787,Employed,23246
1006,84886,693,23565,0.11939106700602745,Employed,46110
1007,36265,806,14834,0.06670441157258362,Employed,5789
1008,112386,600,41656,0.03507880572138944,Employed,1533
1009,67194,638,5840,0.05934387206030342,Employed,29776
1010,117498,566,18873,0.17401672907535212,Employed,49302
1011,142727,760,36568,0.20650353960001125,Employed,19725
1012,74131,755,15846,0.2474047683999343,Self-Employed,7694
1013,90263,659,10899,0.10619997068386874,Employed,6006
1014,46023,367,25502,0.16186342889744237,Employed,27998
1015,71090,711,5565,0.2361718926993268,Unemployed,38313
1016,97221,790,43773,0.06674919189439357,Employed,43428
1017,94820,348,46924,0.18788202899540338,Employed,31087
1018,30769,401,48242,0.1960953212928159,Employed,38675
1019,89735,515,14187,0.04957461789125444,Employed,25362
1020,92955,737,12226,0.2194748647402743,Employed,5485
1021,94925,458,47147,0.20888311036438564,Employed,2235
1022,97969,788,43658,0.03734866144703558,Employed,44674
1023,35311,541,9311,0.050038571273611325,Employed,43668
1024,133355,304,49214,0.04080791665620751,Employed,49662
1025,134724,660,46616,0.10364357699585969,Employed,32983
1026,113104,758,30689,0.14204357794958378,Employed,25039
1027,83707,547,11083,0.14711650015001834,Employed,31416
1028,115305,721,17598,0.08888668714927739,Employed,2145
1029,58693,314,21940,0.23055131504326032,Employed,24804
1030,101932,421,31880,0.1110178137718209,Unemployed,48244
1031,123016,576,7580,0.04002103431237755,Self-Employed,2475
1032,136970,752,47321,0.096049964539105,Self-Employed,11047
1033,55658,689,14386,0.1468440729597142,Employed,13156
1034,114478,593,24522,0.11980880096941104,Employed,31421
1035,48431,745,31224,0.09024535420183702,Employed,28955
1036,32747,509,19635,0.05889111494814983,Employed,23063
1037,89150,601,5671,0.21021619002117053,Employed,49444
1038,95725,522,38545,0.2491519532673222,Employed,22799
1039,114654,302,31855,0.10249926937525405,Employed,22322
1040,65773,817,40790,0.11395662971885286,Employed,35372
1041,149346,392,19260,0.16596825542893054,Unemployed,15932
1042,97435,819,6074,0.1880571244418191,Employed,47361
1043,86886,727,47676,0.11624649765679007,Self-Employed,45239
1044,96803,792,14475,0.22908449373599934,Employed,38815
1045,61551,534,17878,0.15320087763036205,Self-Employed,43964
1046,146216,460,20120,0.1290858168093048,Employed,41943
1047,41394,630,28147,0.17226800569517914,Self-Employed,25003
1048,99092,632,6986,0.2396168466148181,Employed,23501
1049,33890,349,48593,0.2048015047727752,Employed,32092
1050,71606,822,37430,0.03880288871772736,Employed,15983
1051,126276,791,46961,0.10310818036279112,Employed,30768
1052,110038,571,22430,0.13351983068926898,Self-Employed,35604
1053,117313,551,7176,0.09919386588600315,Unemployed,23288
1054,40627,389,23722,0.18404126338270044,Employed,47760
1055,38792,745,47815,0.21177921296976782,Employed,7476
1056,138859,631,23617,0.19089592094075974,Employed,49837
1057,138557,438,32115,0.24765332310222055,Self-Employed,33602
1058,103969,656,42376,0.08996048253646641,Employed,43084
1059,73001,573,16906,0.22249768890537272,Employed,10962
1060,106552,318,45002,0.19865698633838696,Employed,29439
1061,53897,610,11610,0.10967932666279215,Employed,4400
1062,98148,453,48292,0.1915073996045331,Employed,25440
1063,53483,689,18411,0.05289671041201433,Employed,47697
1064,78555,559,14180,0.20365336611492152,Employed,25610
1065,47159,424,15073,0.14711273256916257,Employed,30575
1066,140510,653,42251,0.0943038379960357,Employed,20728
1067,136530,572,35960,0.17427100639251963,Employed,30067
1068,110077,544,10901,0.17115639971716998,Employed,25303
1069,65920,749,43897,0.07608696899831194,Employed,46262
1070,122067,546,48183,0.03668743125853575,Employed,43740
1071,97121,819,9482,0.12539696911836826,Unemployed,2628
1072,99479,440,47454,0.15529261125577268,Self-Employed,40532
1073,119475,661,30428,0.22285316124153165,Self-Employed,10521
1074,49457,307,12400,0.23420769504247077,Self-Employed,39513
1075,96557,777,44574,0.1463371479944886,Employed,43519
1076,107189,651,48284,0.19583676642907988,Employed,26380
1077,139109,794,12396,0.1266467199121593,Employed,29923
1078,108953,726,12338,0.19413807444603645,Self-Employed,35058
1079,82995,338,47718,0.07505633548661672,Employed,29880
1080,70757,486,17500,0.1116342416567769,Employed,19970
1081,39692,392,16545,0.16953015973899527,Employed,39891
1082,75758,385,10241,0.03399475243355734,Employed,5930
1083,102409,343,28778,0.18894148827456989,Employed,36318
1084,101211,436,27821,0.21381781027899668,Self-Employed,42539
1085,95697,720,9695,0.11781116544066932,Employed,43897
1086,67065,373,16530,0.12854733177897615,Self-Employed,30843
1087,122093,847,19318,0.21728208668763682,Employed,33574
1088,129299,811,27331,0.20064401977172736,Employed,40751
1089,62606,455,31355,0.0933928875873425,Self-Employed,10857
1090,41534,554,16324,0.10127474344353857,Self-Employed,24513
1091,124663,470,33149,0.17935321112593125,Employed,35898
1092,70397,469,8218,0.15390358033859547,Employed,24593
1093,121387,621,25141,0.06569050564122933,Employed,23683
1094,31016,755,41784,0.09818458003041661,Employed,37508
1095,119789,454,7837,0.2279963209133039,Employed,19884
1096,85591,648,44802,0.18139837607889794,Self-Employed,6307
1097,119812,750,45077,0.2469143498908143,Employed,13904
1098,53247,472,19379,0.19874275659576926,Employed,40535
1099,54300,309,9239,0.23723437507158984,Employed,18881
1100,104065,564,49896,0.07756148625150458,Self-Employed,30178
1101,112798,737,25812,0.19972667245972367,Unemployed,14582
1102,39268,546,34669,0.03444785443251543,Employed,36912
1103,116807,845,14611,0.17756720477653745,Employed,43911
1104,42185,798,9150,0.1332421011864531,Employed,43419
1105,93704,428,16109,0.1062872158224151,Employed,9025
1106,116779,626,39214,0.2197289575044796,Employed,42614
1107,69099,703,31016,0.21793889238465675,Self-Employed,44944
1108,38571,658,16936,0.034906375077701585,Unemployed,20188
1109,135512,316,16036,0.16409112693887482,Employed,8604
1110,68044,573,44236,0.1109230893506104,Employed,40907
1111,81214,415,19021,0.12144542033009881,Employed,49979
1112,91228,390,41943,0.21304896262813072,Employed,28290
1113,144752,381,42848,0.09816474973608923,Employed,41596
1114,78984,623,20471,0.23747073834027643,Employed,7203
1115,70774,413,28244,0.06951944180187097,Employed,8871
1116,32568,357,43985,0.17579893314099912,Employed,15662
1117,92592,453,43440,0.17786311474302824,Employed,37782
1118,97563,703,6502,0.085482935514142,Employed,12445
1119,32695,565,39178,0.10144513397278443,Employed,12038
1120,78190,614,8770,0.2136556683675869,Employed,46840
1121,35258,340,47865,0.19759715609008954,Employed,46822
1122,117538,404,9001,0.1024010936692471,Employed,4505
1123,69504,492,25946,0.14747044032568546,Self-Employed,42478
1124,63159,700,5598,0.043569665175681,Employed,20069
1125,43986,577,35316,0.07592409412769843,Unemployed,15418
1126,91858,653,30567,0.13688052294928782,Employed,17411
1127,42666,555,31508,0.048914221761426555,Employed,34033
1128,68660,398,48744,0.21553311807622624,Employed,10498
1129,33561,581,44159,0.18796136622368254,Employed,48500
1130,56854,702,35276,0.23759940754266887,Self-Employed,22459
1131,94505,408,28671,0.18256271931208598,Self-Employed,23203
